设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', '状态201 break break', 'na na']
设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['河南饭店-河南工业大学', '河南饭店', '河南工业大学', '34.77130,113.68791', '34.83330,113.55796', ('状态0', '19154', '2253'), 'na na']
['河南饭店-郑州大学', '河南饭店', '郑州大学', '34.77130,113.68791', '34.81414,113.54220', ('状态0', '19321', '2265'), 'na na']
['河南饭店-郑州工程技术学院', '河南饭店', '郑州工程技术学院', '34.77130,113.68791', '34.86633,113.65609', ('状态0', '14488', '2145'), 'na na']
['河南饭店-郑州师范学院', '河南饭店', '郑州师范学院', '34.77130,113.68791', '34.86471,113.62637', ('状态0', '15825', '2444'), 'na na']
['河南饭店-郑州市体育馆', '河南饭店', '郑州市体育馆', '34.77130,113.68791', '34.76295,113.67994', ('状态0', '2041', '536'), 'na na']
['河南饭店-郑州市体育场', '河南饭店', '郑州市体育场', '34.77130,113.68791', '34.76295,113.67994', ('状态0', '2041', '536'), 'na na']
['河南饭店-华北水利水电大学', '河南饭店', '华北水利水电大学', '34.77130,113.68791', '34.77593,113.76580', ('状态0', '9037', '1488'), 'na na']
['河南饭店-北龙湖', '河南饭店', '北龙湖', '34.77130,113.68791', '34.81829,113.74043', ('状态0', '11631', '1685'), 'na na']
['河南饭店-郑州奥体中心体育馆', '河南饭店', '郑州奥体中心体育馆', '34.77130,113.68791', '34.73476,113.54065', ('状态0', '21368', '1615'), 'na na']
['大河锦江饭店-河南工业大学', '大河锦江饭店', '河南工业大学', '34.77858,113.68823', '34.83330,113.55796', ('状态0', '18754', '2097'), 'na na']
['大河锦江饭店-郑州大学', '大河锦江饭店', '郑州大学', '34.77858,113.68823', '34.81414,113.54220', ('状态0', '18921', '2126'), 'na na']
['大河锦江饭店-郑州工程技术学院', '大河锦江饭店', '郑州工程技术学院', '34.77858,113.68823', '34.86633,113.65609', ('状态0', '12993', '2203'), 'na na']
['大河锦江饭店-郑州师范学院', '大河锦江饭店', '郑州师范学院', '34.77858,113.68823', '34.86471,113.62637', ('状态0', '16700', '2475'), 'na na']
['大河锦江饭店-郑州市体育馆', '大河锦江饭店', '郑州市体育馆', '34.77858,113.68823', '34.76295,113.67994', ('状态0', '2759', '498'), 'na na']
['大河锦江饭店-郑州市体育场', '大河锦江饭店', '郑州市体育场', '34.77858,113.68823', '34.76295,113.67994', ('状态0', '2759', '498'), 'na na']
['大河锦江饭店-华北水利水电大学', '大河锦江饭店', '华北水利水电大学', '34.77858,113.68823', '34.77593,113.76580', ('状态0', '9785', '1440'), 'na na']
['大河锦江饭店-北龙湖', '大河锦江饭店', '北龙湖', '34.77858,113.68823', '34.81829,113.74043', ('状态0', '11428', '1460'), 'na na']
['大河锦江饭店-郑州奥体中心体育馆', '大河锦江饭店', '郑州奥体中心体育馆', '34.77858,113.68823', '34.73476,113.54065', ('状态0', '22243', '1629'), 'na na']
['易元深航国际酒店-河南工业大学', '易元深航国际酒店', '河南工业大学', '34.75241,113.78105', '34.83330,113.55796', ('状态0', '28855', '3199'), 'na na']
['易元深航国际酒店-郑州大学', '易元深航国际酒店', '郑州大学', '34.75241,113.78105', '34.81414,113.54220', ('状态0', '30572', '2676'), 'na na']
['易元深航国际酒店-郑州工程技术学院', '易元深航国际酒店', '郑州工程技术学院', '34.75241,113.78105', '34.86633,113.65609', ('状态0', '23783', '3036'), 'na na']
['易元深航国际酒店-郑州师范学院', '易元深航国际酒店', '郑州师范学院', '34.75241,113.78105', '34.86471,113.62637', ('状态0', '26174', '3304'), 'na na']
