设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
意如逸泉国际酒店-河南工业大学', '34.74567,113.74044', '34.83330,113.55796', 状态0', '25073', '2366'], 'na na']
意如逸泉国际酒店-郑州大学', '34.74567,113.74044', '34.81414,113.54220', 状态0', '24834', '2315'], 'na na']
意如逸泉国际酒店-郑州工程技术学院', '34.74567,113.74044', '34.86633,113.65609', 状态0', '20001', '2245'], 'na na']
意如逸泉国际酒店-郑州师范学院', '34.74567,113.74044', '34.86471,113.62637', 状态0', '22391', '2505'], 'na na']
意如逸泉国际酒店-郑州市体育馆', '34.74567,113.74044', '34.76295,113.67994', 状态0', '9679', '1522'], 'na na']
意如逸泉国际酒店-郑州市体育场', '34.74567,113.74044', '34.76295,113.67994', 状态0', '9679', '1524'], 'na na']
意如逸泉国际酒店-华北水利水电大学', '34.74567,113.74044', '34.77593,113.76580', 状态0', '6363', '1139'], 'na na']
意如逸泉国际酒店-北龙湖', '34.74567,113.74044', '34.81829,113.74043', 状态0', '13318', '1421'], 'na na']
意如逸泉国际酒店-郑州奥体中心体育馆', '34.74567,113.74044', '34.73476,113.54065', 状态0', '22350', '1871'], 'na na']
银河来旺达酒店-河南工业大学', '34.74979,113.74652', '34.83330,113.55796', 状态0', '25717', '2412'], 'na na']
银河来旺达酒店-郑州大学', '34.74979,113.74652', '34.81414,113.54220', 状态0', '25478', '2366'], 'na na']
银河来旺达酒店-郑州工程技术学院', '34.74979,113.74652', '34.86633,113.65609', 状态0', '20645', '2296'], 'na na']
银河来旺达酒店-郑州师范学院', '34.74979,113.74652', '34.86471,113.62637', 状态0', '23035', '2558'], 'na na']
银河来旺达酒店-郑州市体育馆', '34.74979,113.74652', '34.76295,113.67994', 状态0', '8751', '1736'], 'na na']
银河来旺达酒店-郑州市体育场', '34.74979,113.74652', '34.76295,113.67994', 状态0', '8751', '1736'], 'na na']
银河来旺达酒店-华北水利水电大学', '34.74979,113.74652', '34.77593,113.76580', 状态0', '5502', '879'], 'na na']
银河来旺达酒店-北龙湖', '34.74979,113.74652', '34.81829,113.74043', 状态0', '13962', '1476'], 'na na']
银河来旺达酒店-郑州奥体中心体育馆', '34.74979,113.74652', '34.73476,113.54065', 状态0', '24862', '1756'], 'na na']
永和铂爵国际酒店-河南工业大学', '34.76917,113.75599', '34.83330,113.55796', 状态0', '24718', '2295'], 'na na']
永和铂爵国际酒店-郑州大学', '34.76917,113.75599', '34.81414,113.54220', 状态0', '24479', '2251'], 'na na']
永和铂爵国际酒店-郑州工程技术学院', '34.76917,113.75599', '34.86633,113.65609', 状态0', '19646', '2162'], 'na na']
永和铂爵国际酒店-郑州师范学院', '34.76917,113.75599', '34.86471,113.62637', 状态0', '22428', '2121'], 'na na']
永和铂爵国际酒店-郑州市体育馆', '34.76917,113.75599', '34.76295,113.67994', 状态0', '8848', '1377'], 'na na']
永和铂爵国际酒店-郑州市体育场', '34.76917,113.75599', '34.76295,113.67994', 状态0', '8848', '1377'], 'na na']
永和铂爵国际酒店-华北水利水电大学', '34.76917,113.75599', '34.77593,113.76580', 状态0', '2882', '423'], 'na na']
永和铂爵国际酒店-北龙湖', '34.76917,113.75599', '34.81829,113.74043', 状态0', '8785', '1333'], 'na na']
永和铂爵国际酒店-郑州奥体中心体育馆', '34.76917,113.75599', '34.73476,113.54065', 状态0', '27073', '2048'], 'na na']
郑飞国际酒店-河南工业大学', '34.70634,113.64191', '34.83330,113.55796', 状态0', '20466', '2155'], 'na na']
郑飞国际酒店-郑州大学', '34.70634,113.64191', '34.81414,113.54220', 状态0', '20227', '2111'], 'na na']
郑飞国际酒店-郑州工程技术学院', '34.70634,113.64191', '34.86633,113.65609', 状态0', '28529', '2914'], 'na na']
